/home/ubuntu/micromamba/envs/minLM/lib/python3.12/site-packages/huggingface_hub/file_download.py:1150: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Number of rows in train dataset: 1165029
Number of rows in test dataset: 2891
num decayed parameter tensors: 50, with 222,793,200 parameters
num non-decayed parameter tensors: 25, with 27,000 parameters
using fused AdamW: True
Iter 0 | Perplexity: 57534.78515625
Epoch 0.0
Iter 0 | LR: 0.0003 | MFU: 0.04776321498834135 | time 116.35s | Loss: inf
Iter 77000 | LR: 0.0002617592744025792 | MFU: 0.026035620064642932 | time 210.45s | Loss: 0.6853063713759182
Iter 77500 | LR: 0.00026128848479454623 | MFU: 0.02607308330252797 | time 210.41s | Loss: 0.6891470564156768
Iter 78000 | LR: 0.00026081534523652233 | MFU: 0.02610637059539071 | time 210.45s | Loss: 0.6947321629524232
Iter 78500 | LR: 0.0002603398686138223 | MFU: 0.026136559258093547 | time 210.43s | Loss: 0.6890567219629878
Iter 79000 | LR: 0.0002598620678754079 | MFU: 0.026163470610526457 | time 210.45s | Loss: 0.6951573597639801
Iter 79500 | LR: 0.00025938195603353504 | MFU: 0.026187741884825637 | time 210.44s | Loss: 0.6955571492016324
Iter 80000 | Perplexity: 31.428279876708984
Iter 80000 | LR: 0.00025889954616339927 | MFU: 0.02584464278096263 | time 244.19s | Loss: 0.6822155337035657
Iter 80500 | LR: 0.0002584148514027799 | MFU: 0.025901107507354602 | time 210.42s | Loss: 0.6853086916357276
Iter 81000 | LR: 0.00025792788495168216 | MFU: 0.025951697795095912 | time 210.44s | Loss: 0.6816402334719904
Iter 81500 | LR: 0.0002574386600719776 | MFU: 0.025997431821896476 | time 210.42s | Loss: 0.6862125983089209
Iter 82000 | LR: 0.0002569471900870432 | MFU: 0.026038276113795947 | time 210.45s | Loss: 0.6795808508247135
Iter 82500 | LR: 0.0002564534883813981 | MFU: 0.026075362362804742 | time 210.42s | Loss: 0.6787692802399398
Iter 83000 | LR: 0.0002559575684003396 | MFU: 0.026107544029045405 | time 210.52s | Loss: 0.6970093917846677
Iter 83500 | LR: 0.00025545944364957637 | MFU: 0.02613769104461869 | time 210.42s | Loss: 0.6802997316420077
Iter 84000 | LR: 0.0002549591276948614 | MFU: 0.026164578503070933 | time 210.44s | Loss: 0.6759010591357955
Iter 84500 | LR: 0.00025445663416162183 | MFU: 0.02618914036390167 | time 210.41s | Loss: 0.6871652845293285
Iter 85000 | Perplexity: 30.375032424926758
Iter 85000 | LR: 0.0002539519767345883 | MFU: 0.025845911241681785 | time 244.19s | Loss: 0.6773140506446357
Iter 85500 | LR: 0.0002534451691574224 | MFU: 0.025902301384095223 | time 210.42s | Loss: 0.6744493092596527
Iter 86000 | LR: 0.00025293622523234167 | MFU: 0.02595213764552556 | time 210.49s | Loss: 0.6736908838152893
Iter 86500 | LR: 0.00025242515881974465 | MFU: 0.025997269279522957 | time 210.47s | Loss: 0.6825558590888977
Iter 87000 | LR: 0.0002519119838378326 | MFU: 0.026037655527707773 | time 210.49s | Loss: 0.6733449755236505
Iter 87500 | LR: 0.00025139671426223115 | MFU: 0.02607473915243447 | time 210.43s | Loss: 0.6822782340645791
Iter 88000 | LR: 0.000250879364125609 | MFU: 0.026107777747981432 | time 210.45s | Loss: 0.6796315741538991
Iter 88500 | LR: 0.0002503599475172964 | MFU: 0.026137955792220977 | time 210.42s | Loss: 0.6763093940913678
Iter 89000 | LR: 0.00024983847858290107 | MFU: 0.026164815441609427 | time 210.44s | Loss: 0.6794392098858952
Iter 89500 | LR: 0.0002493149715239229 | MFU: 0.026189374077694314 | time 210.41s | Loss: 0.6804453591629863
Iter 90000 | Perplexity: 29.436798095703125
Iter 90000 | LR: 0.0002487894405973675 | MFU: 0.025846128951870145 | time 244.19s | Loss: 0.6748851060867314
Iter 90500 | LR: 0.0002482619001153578 | MFU: 0.025902629111324543 | time 210.41s | Loss: 0.6813099488615991
Iter 91000 | LR: 0.0002477323644447441 | MFU: 0.025952994273325473 | time 210.44s | Loss: 0.6681817842274898
Iter 91500 | LR: 0.00024720084800671307 | MFU: 0.025998767564992895 | time 210.41s | Loss: 0.672642847299576
Iter 92000 | LR: 0.00024666736527639485 | MFU: 0.02603953933269789 | time 210.44s | Loss: 0.6665478768199687
Iter 92500 | LR: 0.00024613193078246897 | MFU: 0.026076659004254717 | time 210.41s | Loss: 0.6825234744325281
Iter 93000 | LR: 0.0002455945591067685 | MFU: 0.02610928538313648 | time 210.47s | Loss: 0.6641272582858803
Iter 93500 | LR: 0.0002450552648838831 | MFU: 0.02613908798428663 | time 210.44s | Loss: 0.6861498015373949
Iter 94000 | LR: 0.0002445140628007603 | MFU: 0.026165454091210103 | time 210.47s | Loss: 0.6755989159643656
Iter 94500 | LR: 0.00024397096759630572 | MFU: 0.02618980999284526 | time 210.42s | Loss: 0.6754684720933439
Iter 95000 | Perplexity: 28.578519821166992
Iter 95000 | LR: 0.0002434259940609815 | MFU: 0.025846524677230025 | time 244.19s | Loss: 0.6727774898707879
Iter 95500 | LR: 0.0002428791570364037 | MFU: 0.02590298393836174 | time 210.41s | Loss: 0.6610975627601149
Iter 96000 | LR: 0.0002423304714149378 | MFU: 0.025953422377554096 | time 210.44s | Loss: 0.6725378099828961
Iter 96500 | LR: 0.00024177995213929353 | MFU: 0.025999175270993997 | time 210.41s | Loss: 0.6690669189393518
Iter 97000 | LR: 0.0002412276142021175 | MFU: 0.02603993083313777 | time 210.44s | Loss: 0.6586909524351359
Epoch 2.0
Iter 97500 | LR: 0.00024067347264558516 | MFU: 0.02607366772686859 | time 210.68s | Loss: 0.6552314066514378
